Year,Area_Ha,Yield_MT_Ha,Source,Production_MT
2005,75000.0,2.1,Estimated,157500.0
2006,78000.0,2.25,Estimated,175500.0
2007,80000.0,2.45,Estimated,196000.0
2008,82000.0,2.3,Estimated,188599.99999999997
2009,85000.0,2.15,Estimated,182750.0
2010,87000.0,2.2,Estimated,191400.00000000003
2011,89000.0,2.6,Estimated,231400.0
2012,91310.0,2.821691,County Report,257648.60521
2013,88790.0,4.09463,County Report,363562.1977
2014,96654.0,3.933895,County Report,380226.68733
2015,104078.0,3.892475,County Report,405121.01305
2016,102753.0,3.945773,County Report,405440.013069
2017,101279.0,3.307996,County Report,335030.526884
2018,95209.0,4.258628,County Report,405459.713252
2019,100081.0,3.241035,County Report,324366.023835
2020,106999.0,3.065103,County Report,327962.95589700004
2021,104645.0,3.682928,County Report,385400.00056
2022,102820.0,3.5,County Report,359870.0
2023,117923.0,4.041092,County Report,476537.691916
2024,,,Pending,
